time,height
33.5,2920.93
33.6,2938.37
33.7,2955.86
33.8,2973.4
33.9,2991
34,3008.64
34.1,3026.34
34.2,3044.09
34.3,3061.89
34.4,3079.75
34.5,3097.65
34.6,3115.61
34.7,3133.62
34.8,3151.68
34.9,3169.79
35,3187.96
35.1,3206.17
35.2,3224.44
35.3,3242.76
35.4,3261.14
35.5,3279.56
35.6,3298.04
35.7,3316.57
35.8,3335.15
35.9,3353.78
36,3372.46
36.1,3391.2
36.2,3409.99
36.3,3428.83
36.4,3447.72
36.5,3466.66
36.6,3485.66
36.7,3504.7
36.8,3523.8
36.9,3542.95
37,3562.16
37.1,3581.41
37.2,3600.72
37.3,3620.08
37.4,3639.49
37.5,3658.95
37.6,3678.46
37.7,3698.03
37.8,3717.65
37.9,3737.32
38,3757.04
38.1,3776.81
38.2,3796.64
38.3,3816.52
38.4,3836.45
38.5,3856.43
38.6,3876.46
38.7,3896.55
38.8,3916.69
38.9,3936.87
39,3957.12
39.1,3977.41
39.2,3997.75
39.3,4018.15
39.4,4038.6
39.5,4059.1
39.6,4079.65
39.7,4100.26
39.8,4120.91
39.9,4141.62
40,4162.38
40.1,4183.19
40.2,4204.06
40.3,4224.97
40.4,4245.94
40.5,4266.96
40.6,4288.03
40.7,4309.15
40.8,4330.33
40.9,4351.56
41,4372.83
41.1,4394.17
41.2,4415.55
41.3,4436.98
41.4,4458.47
41.5,4480.01
41.6,4501.6
41.7,4523.24
41.8,4544.93
41.9,4566.68
42,4588.48
42.1,4610.33
42.2,4632.23
42.3,4654.18
42.4,4676.19
42.5,4698.25
42.6,4720.36
42.7,4742.52
42.8,4764.73
42.9,4787
43,4809.31
43.1,4831.68
43.2,4854.1
43.3,4876.58
43.4,4899.1
43.5,4921.68
43.6,4944.31
43.7,4966.99
43.8,4989.72
43.9,5012.5
44,5035.34
44.1,5058.23
44.2,5081.17
44.3,5104.16
44.4,5127.2
44.5,5150.3
44.6,5173.44
44.7,5196.64
44.8,5219.89
44.9,5243.2
45,5266.55
45.1,5289.96
45.2,5313.42
45.3,5336.93
45.4,5360.49
45.5,5384.11
45.6,5407.77
45.7,5431.49
45.8,5455.26
45.9,5479.08
46,5502.96
46.1,5526.88
46.2,5550.86
46.3,5574.89
46.4,5598.97
46.5,5623.11
46.6,5647.29
46.7,5671.53
46.8,5695.82
46.9,5720.16
47,5744.55
47.1,5769
47.2,5793.49
47.3,5818.04
47.4,5842.64
47.5,5867.3
47.6,5892
47.7,5916.76
47.8,5941.56
47.9,5966.42
48,5991.34
48.1,6016.3
48.2,6041.32
48.3,6066.38
48.4,6091.5
48.5,6116.67
48.6,6141.9
48.7,6167.17
48.8,6192.5
48.9,6217.88
49,6243.31
49.1,6268.79
49.2,6294.33
49.3,6319.91
49.4,6345.55
49.5,6371.24
49.6,6396.99
49.7,6422.78
49.8,6448.63
49.9,6474.53
50,6500.48
50.1,6526.48
50.2,6552.53
50.3,6578.64
50.4,6604.79
50.5,6631
50.6,6657.26
50.7,6683.58
50.8,6709.94
50.9,6736.36
51,6762.83
51.1,6789.35
51.2,6815.92
51.3,6842.55
51.4,6869.22
51.5,6895.95
51.6,6922.73
51.7,6949.57
51.8,6976.45
51.9,7003.39
52,7030.37
52.1,7057.41
52.2,7084.51
52.3,7111.65
52.4,7138.85
52.5,7166.09
52.6,7193.39
52.7,7220.74
52.8,7248.15
52.9,7275.6
53,7303.11
53.1,7330.67
53.2,7358.28
53.3,7385.94
53.4,7413.66
53.5,7441.42
